,Protein_ID,Compound_ID,Label
24849,Q93TJ5,SUB-5602,0
17681,A0A075B5H4,SUB-9769,0
2465,Q8VPD4,SUB-9805,1
20925,P07962,SUB-3966,0
14316,Q96WX0,SUB-8505,0
14287,P52895,SUB-3376,0
22086,A2DJ40,SUB-8631,0
3745,P32320,SUB-6838,1
23352,B8QHP3,SUB-5902,0
11601,Q9ZN18,SUB-7585,1
3581,O25874,SUB-8745,1
11138,A0A097ZMY7,SUB-5327,1
12369,P20720,SUB-968,1
20060,Q9LCB4,SUB-8974,0
20999,Q8TTZ3,SUB-6995,0
8644,P77781,SUB-5548,1
3187,Q04631,SUB-879,1
9634,P08337,SUB-2768,1
14366,P11546,SUB-5825,0
4802,Q9SLN8,SUB-4623,1
1602,P81535,SUB-3235,1
1447,Q53TZ2,SUB-2443,1
2227,I0B6I9,SUB-6319,1
7093,P51650,SUB-796,1
5825,P0A110,SUB-1246,1
23251,Q8K4B7,SUB-1123,0
22073,P42270,SUB-7015,0
25474,O24319,SUB-1614,0
4021,G3XEX5,SUB-5645,1
17394,P08253,SUB-2172,0
15569,Q5W1E6,SUB-5836,0
596,Q02068,SUB-2514,1
6371,Q25252,SUB-7212,1
24531,P19907,SUB-3366,0
16990,Q8ISS3,SUB-9160,0
15468,Q8VPD4,SUB-6534,0
13262,P80679,SUB-8183,0
15590,D2D3C5,SUB-1982,0
5120,B3Y018,SUB-2231,1
13484,C9K2Z6,SUB-1725,0
526,P08200,SUB-8684,1
5878,P13154,SUB-4116,1
3040,B9W4V6,SUB-8162,1
18995,P16311,SUB-6261,0
19620,P00634,SUB-6092,0
13581,Q02068,SUB-7293,0
21489,Q8TCT1,SUB-8318,0
5824,P0A110,SUB-2512,1
13277,P80679,SUB-6711,0
22319,P16116,SUB-5429,0
2391,A2QKT4,SUB-8152,1
16749,Q7G191,SUB-14,0
16323,P28838,SUB-8646,0
11549,P30863,SUB-3444,1
18642,A0A1B2U6R8,SUB-7360,0
22316,P16116,SUB-6610,0
2443,P0A6K3,SUB-1701,1
6872,P00507,SUB-2629,1
20072,P51590,SUB-1337,0
19444,P15304,SUB-10348,0
7487,Q56185,SUB-6016,1
24138,A0A097ZMY7,SUB-5510,0
10422,P0ABK9,SUB-4091,1
305,P80679,SUB-9626,1
18821,P0A110,SUB-4574,0
3051,B9W4V6,SUB-2692,1
18975,Q4QZ27,SUB-3702,0
25271,E7FHY4,SUB-1614,0
13060,Q8KHZ8,SUB-6790,0
14724,Q2K0Q7,SUB-1052,0
4804,Q9SLN8,SUB-5350,1
3497,Q9LCQ7,SUB-4280,1
18009,D4GSE6,SUB-6186,0
18625,J9PBS0,SUB-2538,0
3502,Q99999,SUB-7942,1
24875,Q61153,SUB-8432,0
10945,P13254,SUB-4715,1
5317,P76217,SUB-3648,1
12910,Q13162,SUB-7913,1
4830,E6UBR9,SUB-7598,1
23021,P22498,SUB-2990,0
16484,Q9LCQ7,SUB-5960,0
11466,Q3UEG6,SUB-9946,1
25470,O24319,SUB-82,0
4912,O70370,SUB-10085,1
20530,Q53389,SUB-4006,0
10311,P32179,SUB-2005,1
21338,Q95VE7,SUB-8310,0
18909,Q12537,SUB-4421,0
8139,P26876,SUB-9169,1
13863,O94219,SUB-555,0
23393,Q8WZK8,SUB-9251,0
3895,P46925,SUB-3899,1
14222,Q5NU42,SUB-4005,0
4310,P60484,SUB-6261,1
5253,P0AB80,SUB-2189,1
23635,P72156,SUB-3629,0
20371,P07686,SUB-4536,0
20242,P22303,SUB-1855,0
25893,O53699,SUB-8632,0
15484,Q00740,SUB-8205,0
23199,P37967,SUB-2409,0
5362,Q9WTL7,SUB-8268,1
2456,Q8VPD4,SUB-6877,1
7704,B6U0X5,SUB-5184,1
7623,Q8PDA8,SUB-2201,1
2735,O88455,SUB-8777,1
22740,Q52383,SUB-6751,0
4938,P0CG30,SUB-6386,1
10109,Q8L3C9,SUB-7225,1
6506,C7FF05,SUB-6270,1
11028,P09623,SUB-1359,1
10430,O14556,SUB-2086,1
14826,Q5BM20,SUB-709,0
5274,Q9D379,SUB-5874,1
24335,A0A2I6U1R0,SUB-1703,0
24205,P41367,SUB-7769,0
12887,Q6Q8Q7,SUB-7442,1
1848,Q5BM20,SUB-437,1
5924,P06875,SUB-9172,1
2015,P19801,SUB-7878,1
12654,P42588,SUB-8488,1
24801,Q8LAS8,SUB-3890,0
569,Q46920,SUB-10107,1
15034,Q9H227,SUB-5565,0
24261,A0A165QBG6,SUB-5366,0
23304,O32717,SUB-5549,0
23969,O75608,SUB-4483,0
7462,Q56185,SUB-7633,1
6440,F9FU71,SUB-5329,1
4810,P52705,SUB-3113,1
7667,B3IVI7,SUB-5195,1
23674,P00371,SUB-7711,0
2242,P28845,SUB-8368,1
18167,Q8IHW5,SUB-3085,0
17186,A3E7Z7,SUB-775,0
20833,D2WKD9,SUB-9629,0
8871,E9P162,SUB-1629,1
3772,Q9LFT6,SUB-4979,1
18427,P11344,SUB-9554,0
8096,A7LFP5,SUB-2636,1
7052,P17516,SUB-5905,1
14876,A2ADU9,SUB-6417,0
2603,Q7XJ02,SUB-10300,1
23858,P04963,SUB-1155,0
20805,Q5FSN8,SUB-2796,0
5009,Q9ESU6,SUB-6197,1
7064,P17516,SUB-45,1
4446,Q4VR94,SUB-6197,1
23116,P39462,SUB-9524,0
21447,D5MU22,SUB-2281,0
16460,P00791,SUB-384,0
7085,P51650,SUB-3444,1
14570,P0A3G2,SUB-9993,0
7359,C6KT68,SUB-2319,1
17573,A0A1V0ELS9,SUB-5321,0
15630,Q9BY64,SUB-10273,0
2709,P97872,SUB-7753,1
18165,E5DD06,SUB-6390,0
304,P80679,SUB-6959,1
10896,P04963,SUB-2006,1
17133,E3T1X3,SUB-6087,0
12752,Q8NCE0,SUB-7691,1
23119,P39462,SUB-2687,0
20197,A4YDS4,SUB-977,0
15652,P32947,SUB-2983,0
20910,A0A0E4A9D6,SUB-10213,0
18133,P9WKG9,SUB-4748,0
2558,Q8BWF0,SUB-2842,1
24309,O68977,SUB-1609,0
9783,P42860,SUB-2490,1
13699,P06802,SUB-4600,0
11856,Q93TJ5,SUB-396,1
16265,C4L2T5,SUB-5323,0
17377,Q96Y29,SUB-6327,0
3126,Q12737,SUB-9755,1
4868,A9QXE0,SUB-5305,1
12275,E7FHY4,SUB-3881,1
6836,P77072,SUB-7069,1
10405,P14920,SUB-7386,1
19360,Q25252,SUB-3603,0
22766,O28558,SUB-8506,0
3918,Q8X1D8,SUB-9179,1
9885,O08590,SUB-4265,1
18341,P42785,SUB-5673,0
16529,Q9BT40,SUB-3026,0
18611,Q81EJ6,SUB-9321,0
20111,P24855,SUB-5839,0
11893,P0A6W0,SUB-9258,1
2799,Q12556,SUB-5901,1
11438,A0A1L3GZ76,SUB-8788,1
17942,P0CG30,SUB-8821,0
13153,I6YFP0,SUB-7062,0
6106,Q96V44,SUB-27,1
681,Q8L3C7,SUB-7927,1
25057,P11509,SUB-9719,0
24084,P30837,SUB-3624,0
8341,Q6P549,SUB-1612,1
23559,Q84UV8,SUB-1529,0
18606,Q13093,SUB-4014,0
9301,Q8R3P0,SUB-778,1
21886,Q9ZBU1,SUB-9681,0
13392,A9BHI9,SUB-4529,0
15410,Q6US81,SUB-3954,0
16983,O52933,SUB-2465,0
18570,P27169,SUB-6645,0
7621,Q16MV6,SUB-830,1
5310,D0VWQ0,SUB-6822,1
24166,Q47098,SUB-760,0
15938,Q8NKS5,SUB-4366,0
10904,P04963,SUB-10339,1
16212,Q04631,SUB-2381,0
11614,P26971,SUB-9598,1
13110,G1EMI7,SUB-9811,0
8841,P9WJF0,SUB-6139,1
18887,P59337,SUB-5829,0
16845,P31797,SUB-311,0
16833,Q8GR22,SUB-1805,0
9580,A0EL75,SUB-2639,1
12894,Q6Q8Q7,SUB-385,1
4052,O34707,SUB-1334,1
19470,C7FF05,SUB-7208,0
15348,Q9P979,SUB-5194,0
12425,P49012,SUB-9079,1
7966,Q9Y5Z0,SUB-1995,1
786,I0CKV2,SUB-10148,1
17937,P0CG30,SUB-5908,0
17137,E3T1X3,SUB-912,0
1649,Q6WAU1,SUB-7658,1
773,P48425,SUB-973,1
8186,D2DRB6,SUB-5024,1
4421,Q58579,SUB-6197,1
19529,Q6DLR9,SUB-7664,0
6268,P09104,SUB-6526,1
13941,P16444,SUB-1741,0
8630,Q5FSJ2,SUB-2106,1
15913,P0A6L4,SUB-7493,0
399,P0A6I3,SUB-5522,1
22296,Q8R3P0,SUB-8564,0
14161,P07099,SUB-10052,0
1421,F9UM18,SUB-4858,1
14473,W8CXQ9,SUB-8523,0
19032,P41744,SUB-7597,0
4007,Q96IY4,SUB-2507,1
24926,Q97U21,SUB-9874,0
2827,G0RVK1,SUB-1116,1
23045,B2RLK2,SUB-7680,0
7057,P17516,SUB-5199,1
9153,P07872,SUB-4325,1
15394,Q72LL6,SUB-2993,0
15699,P97872,SUB-7751,0
8760,Q9SW90,SUB-8917,1
21763,P40566,SUB-8271,0
25456,Q9LBW4,SUB-4283,0
15864,Q6AYS7,SUB-8104,0
8276,Q1XH05,SUB-2800,1
4991,P26602,SUB-2496,1
3481,I3RYX9,SUB-866,1
17768,P74473,SUB-6047,0
12197,Q57573,SUB-5284,1
25473,O24319,SUB-5394,0
23270,P9WNX9,SUB-7217,0
6487,C7FF05,SUB-762,1
13564,Q46920,SUB-2000,0
63,Q8KHZ8,SUB-9123,1
18315,P97051,SUB-9227,0
2645,Q9BY64,SUB-8824,1
8203,Q9HBQ7,SUB-4847,1
2995,Q9NWM0,SUB-7036,1
22443,P01033,SUB-5280,0
208,Q9JLJ3,SUB-8035,1
494,C9K2Z6,SUB-5462,1
630,B0FSQ0,SUB-7369,1
18061,P09622,SUB-6520,0
442,J9P7P2,SUB-8713,1
23974,P42850,SUB-5522,0
10738,Q9ZAG3,SUB-9136,1
4042,B2LYJ5,SUB-2999,1
3869,F6MZ55,SUB-3187,1
15223,I0B6I9,SUB-6698,0
15052,O45307,SUB-6804,0
18747,Q01062,SUB-9519,0
9595,A0A0H2YQB3,SUB-1404,1
20769,Q00456,SUB-5112,0
37,P0A111,SUB-3187,1
7162,P51857,SUB-4135,1
7852,Q8IEK1,SUB-9540,1
10589,P00378,SUB-6788,1
10498,Q9APM5,SUB-7172,1
1209,P06622,SUB-7065,1
14218,Q9UBR2,SUB-1446,0
8939,H3JQW0,SUB-9339,1
19182,P05982,SUB-3853,0
3997,Q8ISS3,SUB-9021,1
2204,Q9SR37,SUB-4617,1
18080,Q05469,SUB-1904,0
8163,P08311,SUB-518,1
24372,Q9ZVJ5,SUB-9593,0
13410,Q54YL2,SUB-7840,0
6644,P00634,SUB-6930,1
16167,Q04631,SUB-5619,0
19365,Q25252,SUB-6557,0
6462,C7FF05,SUB-5718,1
19096,Q96V44,SUB-9220,0
2308,Q670W0,SUB-5572,1
5495,Q6N8N2,SUB-10032,1
17914,B9E972,SUB-4134,0
1455,Q96Z02,SUB-5805,1
19185,P05982,SUB-9296,0
14374,Q5EG61,SUB-4001,0
6723,P37527,SUB-4283,1
20413,Q9BYV7,SUB-4630,0
9734,Q8J2T0,SUB-7273,1
17466,Q8Y2J8,SUB-2441,0
11553,P30863,SUB-4529,1
10708,P26616,SUB-760,1
21522,Q2AAT6,SUB-9734,0
25407,Q42629,SUB-7411,0
2076,P22734,SUB-3886,1
5947,P06875,SUB-7958,1
10057,B2RLK2,SUB-320,1
22392,Q50EL0,SUB-4806,0
6535,Q6DLR9,SUB-573,1
23885,P04963,SUB-9730,0
10815,P04963,SUB-5023,1
12815,P06961,SUB-4631,1
16206,Q04631,SUB-8297,0
20156,P51857,SUB-2587,0
8627,Q5FSJ2,SUB-9529,1
23905,P04963,SUB-2742,0
17926,P0A9T0,SUB-10321,0
6393,Q5BQE6,SUB-4400,1
5767,Q5B2E8,SUB-8729,1
11632,Q51947,SUB-1007,1
25454,P15776,SUB-3085,0
25191,Q57573,SUB-5284,0
25912,P22984,SUB-7607,0
13734,Q15493,SUB-86,0
13285,P80679,SUB-4547,0
5621,Q9I387,SUB-137,1
19584,G3BJX4,SUB-2009,0
5146,P04825,SUB-10238,1
3199,Q04631,SUB-2154,1
15812,Q96RV2,SUB-3242,0
1302,Q96PD6,SUB-7073,1
9266,Q5T3U5,SUB-2857,1
24383,Q64610,SUB-6273,0
2790,P0C6X7,SUB-10087,1
7279,Q9V3I1,SUB-105,1
23964,Q81VW8,SUB-2203,0
15406,M4N626,SUB-834,0
19826,P77072,SUB-5440,0
6685,P00784,SUB-9282,1
12568,Q58813,SUB-3697,1
21830,Q9UK23,SUB-2747,0
2644,Q9BY64,SUB-1487,1
14818,P21812,SUB-9390,0
6432,Q6TGQ8,SUB-5747,1
19423,P43353,SUB-6655,0
10785,K9NCQ5,SUB-4714,1
2342,B0F411,SUB-4570,1
7459,Q56185,SUB-8578,1
10235,O59485,SUB-1951,1
1043,P40817,SUB-4510,1
8878,Q8VPT7,SUB-1127,1
19888,Q8GKS3,SUB-1624,0
11178,B9U443,SUB-4441,1
94,Q8NKS0,SUB-5321,1
3766,Q5P5I4,SUB-5517,1
877,O94219,SUB-1605,1
25045,P69328,SUB-183,0
18183,P08319,SUB-4062,0
24074,P30837,SUB-9956,0
21668,A0ZXZ4,SUB-114,0
11363,A0A2I6U1R0,SUB-10228,1
22741,Q52383,SUB-5610,0
964,P76423,SUB-2768,1
19725,D0ITF8,SUB-121,0
13721,Q15493,SUB-4031,0
18593,Q13093,SUB-9719,0
22334,Q6RKB1,SUB-8403,0
11225,Q4AEI9,SUB-8711,1
7853,Q8IEK1,SUB-6847,1
14452,M5C6U3,SUB-8719,0
9969,O75828,SUB-3001,1
132,A5EYI0,SUB-2717,1
13981,Q9HA79,SUB-7088,0
10864,P04963,SUB-1155,1
2786,P28796,SUB-400,1
15399,M4N626,SUB-5810,0
15846,Q5EBM0,SUB-3778,0
6420,P43353,SUB-8605,1
4424,P19835,SUB-7499,1
10149,U6CL97,SUB-7805,1
22791,Q08257,SUB-769,0
3156,Q2UNF9,SUB-2879,1
3425,Q8NBN7,SUB-4497,1
7213,Q2KNL6,SUB-3214,1
6935,C9JRZ8,SUB-286,1
12511,Q8KQK1,SUB-4858,1
13460,C9K2Z6,SUB-3130,0
11052,P30837,SUB-9322,1
25053,P11509,SUB-8103,0
17114,P05418,SUB-1939,0
7660,Q44238,SUB-1273,1
13378,O60760,SUB-4394,0
19304,P06276,SUB-2225,0
2581,P23739,SUB-5508,1
11994,P0CS93,SUB-8597,1
6363,P18417,SUB-493,1
12648,F8TW82,SUB-5783,1
20382,P37528,SUB-3185,0
12313,P34059,SUB-4663,1
17036,B2LYJ5,SUB-5660,0
20583,Q52087,SUB-3457,0
7328,P30041,SUB-355,1
16445,P00791,SUB-8603,0
5717,Q63342,SUB-3584,1
14847,Q5BM20,SUB-6891,0
10508,B6YSF3,SUB-5522,1
1062,Q93Y47,SUB-6292,1
25397,Q8RTY6,SUB-2909,0
3888,I3VIX5,SUB-305,1
11177,B9U443,SUB-1387,1
339,C5X6I4,SUB-5998,1
25831,F4JLK2,SUB-1682,0
4051,P07202,SUB-9436,1
12092,Q9WPH5,SUB-859,1
5104,Q01284,SUB-10063,1
9465,A3KEZ1,SUB-6290,1
13087,Q8NKS0,SUB-514,0
24195,Q5FT75,SUB-7275,0
24265,Q6RET3,SUB-3862,0
19985,Q9UBV7,SUB-8342,0
2511,Q75W17,SUB-5370,1
17742,P13650,SUB-4260,0
18934,P06875,SUB-6787,0
6931,C9JRZ8,SUB-3506,1
23622,P72156,SUB-860,0
9317,P16116,SUB-1858,1
9208,Q13126,SUB-8364,1
5502,Q6N8N2,SUB-2090,1
691,P11152,SUB-1549,1
22243,Q5JI09,SUB-4979,0
7125,B3VTL5,SUB-2391,1
21013,G4WJC8,SUB-8602,0
13507,P72224,SUB-6345,0
8978,P15559,SUB-5865,1
22869,Q9FAW5,SUB-5577,0
18894,P59337,SUB-3533,0
16566,P00327,SUB-5451,0
16400,Q50H63,SUB-2437,0
13024,P0A111,SUB-7108,0
7752,P35219,SUB-525,1
11922,P9WNH5,SUB-4492,1
6590,G3BJX4,SUB-6406,1
4445,Q4AEC5,SUB-5522,1
16879,I3VIX5,SUB-10037,0
25322,Q70JP0,SUB-165,0
2278,Q9D099,SUB-7752,1
5529,A2PZP3,SUB-3444,1
5891,P59337,SUB-8538,1
15385,A2QKT4,SUB-4755,0
12870,Q60176,SUB-5175,1
20630,Q60FX6,SUB-4332,0
13353,P0A434,SUB-6748,0
11782,P39594,SUB-1471,1
5623,Q9I387,SUB-9741,1
19450,A0A1C3KUB4,SUB-1868,0
23764,D9PVP5,SUB-5523,0
22308,P16116,SUB-2190,0
19386,Q5BQE6,SUB-6342,0
21225,A4IP64,SUB-10110,0
8240,Q76HN4,SUB-685,1
9705,Q59477,SUB-864,1
9497,Q9HXE7,SUB-3608,1
10089,O13702,SUB-5277,1
519,P0A955,SUB-2293,1
12159,Q58605,SUB-4788,1
12907,Q13162,SUB-8670,1
24397,Q67A25,SUB-9723,0
21484,E7FHW8,SUB-3149,0
12248,P07328,SUB-7399,1
3865,P29475,SUB-2072,1
13917,I3V5V5,SUB-40,0
5905,Q9FG67,SUB-8251,1
16773,Q9LFT6,SUB-6934,0
17876,P81908,SUB-8080,0
1897,Q8KZP9,SUB-8843,1
11194,Q9CAB7,SUB-1544,1
7017,P0A840,SUB-3696,1
1692,Q94FY6,SUB-6276,1
19147,Q92XZ6,SUB-6258,0
11552,P30863,SUB-8371,1
21260,P21890,SUB-5030,0
1645,Q62600,SUB-8313,1
17389,Q5GCA8,SUB-5047,0
25348,P20720,SUB-3966,0
13126,A5EYI0,SUB-3307,0
19842,B1NY94,SUB-8650,0
13391,G2QND5,SUB-5761,0
13948,Q6QHC5,SUB-4407,0
4560,Q8GRC5,SUB-2123,1
12644,F8TW82,SUB-7876,1
10614,O14495,SUB-10219,1
10270,Q8K4B7,SUB-3988,1
21926,H3JQW0,SUB-2055,0
12647,F8TW82,SUB-10307,1
18436,Q24451,SUB-3550,0
23291,O08355,SUB-2598,0
24770,P97612,SUB-5877,0
20158,P51857,SUB-5653,0
5494,Q76HN6,SUB-4595,1
10372,P18405,SUB-2265,1
5843,P0A110,SUB-2431,1
2841,Q93HW0,SUB-7836,1
15188,P06617,SUB-1378,0
9345,P04841,SUB-9219,1
23453,P41407,SUB-10117,0
24134,A0A097ZMY7,SUB-3662,0
9202,C6A190,SUB-4913,1
2455,Q8VPD4,SUB-8628,1
24584,A0A0C5H8Q7,SUB-4647,0
7827,P29218,SUB-2420,1
11756,Q9N119,SUB-8371,1
23876,P04963,SUB-3028,0
14031,Q9HA79,SUB-6360,0
5375,O96142,SUB-9101,1
13652,P55228,SUB-533,0
18888,P59337,SUB-8345,0
2765,Q8ZUN8,SUB-165,1
23390,Q8WZK8,SUB-2030,0
17203,Q402C7,SUB-2858,0
20897,P71725,SUB-702,0
8,R9WYJ0,SUB-10248,1
11158,A0A097ZMY7,SUB-86,1
6456,A0A1C3KUB4,SUB-2850,1
1760,P05364,SUB-5595,1
7146,G1T465,SUB-7166,1
172,P22315,SUB-1942,1
22418,P32963,SUB-7769,0
19351,P18417,SUB-10116,0
18236,Q9I993,SUB-7405,0
9582,A0EL75,SUB-6915,1
17764,A0A0C1Q6R1,SUB-7510,0
15636,Q9BY64,SUB-5173,0
18477,Q76HN6,SUB-8513,0
3957,P53629,SUB-660,1
15755,Q5HH69,SUB-7132,0
23736,Q9ZAG3,SUB-8829,0
2880,Q91XE4,SUB-9549,1
6199,P05982,SUB-9450,1
25823,Q540D7,SUB-7513,0
25610,Q6QHF9,SUB-6207,0
17973,Q63042,SUB-7575,0
18405,P04079,SUB-8180,0
15523,Q96KP4,SUB-8666,0
11908,P04035,SUB-4943,1
23681,P00371,SUB-7579,0
4205,Q402C7,SUB-870,1
11828,Q93TJ5,SUB-9918,1
9281,Q16222,SUB-8143,1
18648,Q59310,SUB-8575,0
24013,Q9HK51,SUB-3964,0
4574,Q6STM1,SUB-644,1
25307,P34059,SUB-8899,0
5501,Q6N8N2,SUB-6695,1
10715,P16469,SUB-847,1
9561,O69054,SUB-150,1
24506,A4VB85,SUB-994,0
11441,P62620,SUB-3831,1
24529,P19907,SUB-1349,0
7809,P28327,SUB-6197,1
2986,Q9HBH5,SUB-6515,1
20956,P22643,SUB-1926,0
22271,Q9RE05,SUB-483,0
16847,Q57VZ2,SUB-7657,0
21900,Q9ZBU1,SUB-3641,0
11203,Q5FT75,SUB-5547,1
25605,P22869,SUB-1004,0
2739,P48418,SUB-5643,1
16908,Q8X1D8,SUB-883,0
25742,Q8NCE0,SUB-4548,0
24906,Q6XUJ4,SUB-3717,0
7652,Q5SLC4,SUB-296,1
70,P13298,SUB-6604,1
15422,P60932,SUB-9606,0
16735,Q04519,SUB-5478,0
25519,Q52028,SUB-2372,0
10705,P12807,SUB-8827,1
9875,Q9FAW5,SUB-116,1
25152,Q58605,SUB-8225,0
24914,A0A1C9CXI0,SUB-7626,0
21614,P9WHV7,SUB-3659,0
23397,P14920,SUB-3115,0
19176,P05982,SUB-2518,0
17862,A9QXE0,SUB-6551,0
23080,P36639,SUB-6978,0
18276,P07001,SUB-8756,0
15774,Q6J4T9,SUB-5198,0
12190,Q9ZNN8,SUB-6682,1
6941,C9JRZ8,SUB-3193,1
17941,P0CG30,SUB-5335,0
1775,P05364,SUB-9054,1
20761,Q4TZQ3,SUB-4680,0
10867,P04963,SUB-10008,1
16988,Q05GU3,SUB-10200,0
10906,P04963,SUB-9068,1
6780,A0A1L1YPD7,SUB-6265,1
19680,P00784,SUB-9090,0
9868,P56389,SUB-4599,1
18691,F6BL85,SUB-2906,0
11857,Q93TJ5,SUB-841,1
561,A5F5X0,SUB-1196,1
8922,P45131,SUB-9803,1
17655,Q99KQ4,SUB-9402,0
17163,Q8N884,SUB-2296,0
1648,Q62600,SUB-2161,1
1004,Q9HA79,SUB-9683,1
24835,Q93TJ5,SUB-9680,0
11621,Q1A3B0,SUB-8550,1
23852,P04963,SUB-3843,0
13489,C9K2Z6,SUB-6427,0
1892,Q2KIR7,SUB-4164,1
13145,P47229,SUB-37,0
11718,Q6F596,SUB-7504,1
16040,B9W4V6,SUB-10121,0
4596,Q4U331,SUB-4993,1
4858,A9QXE0,SUB-6440,1
25871,Q6Q8Q7,SUB-3187,0
23019,Q61147,SUB-9642,0
18097,Q01284,SUB-157,0
21106,Q9C0Y4,SUB-3747,0
8265,P21890,SUB-5250,1
13547,P0A870,SUB-2728,0
9254,P00780,SUB-8786,1
14689,P53090,SUB-6498,0
14659,P78329,SUB-9216,0
20847,Q8IEK1,SUB-1185,0
12130,B2ZRE3,SUB-3565,1
18870,P13154,SUB-2080,0
1414,P11411,SUB-8978,1
18285,Q88FX8,SUB-2535,0
14836,Q5BM20,SUB-4479,0
1362,Q58FK9,SUB-2519,1
16219,Q9LEH3,SUB-10019,0
4966,A3A871,SUB-1761,1
18635,Q65CJ7,SUB-2196,0
7133,A0A1J9VES8,SUB-5373,1
18298,P30986,SUB-111,0
7212,Q2KNL6,SUB-4189,1
12642,A0A0C5AJS1,SUB-3503,1
6485,C7FF05,SUB-7555,1
17467,Q58085,SUB-10114,0
2722,Q6QWR1,SUB-1648,1
9318,P16116,SUB-7728,1
14943,Q03J44,SUB-4960,0
11006,Q9XGY7,SUB-700,1
24110,P67095,SUB-4051,0
2155,Q52TE7,SUB-4282,1
11302,Q8MWS0,SUB-5764,1
8383,Q6PQJ9,SUB-2315,1
15948,Q62087,SUB-9443,0
15283,Q564A6,SUB-7227,0
16413,Q07982,SUB-3742,0
13084,P0A884,SUB-4453,0
11267,A0A165QBG6,SUB-1451,1
21057,P29930,SUB-8594,0
24121,Q15392,SUB-1396,0
18511,P0AEK2,SUB-2104,0
5526,Q703V9,SUB-9183,1
10158,F1P6W8,SUB-2396,1
25637,A0A0C5AJS1,SUB-9456,0
10965,Q81VW8,SUB-6146,1
16193,Q04631,SUB-6086,0
17580,P22413,SUB-5641,0
21512,Q27679,SUB-3429,0
5339,D2STN9,SUB-1889,1
10562,Q6R4Q9,SUB-1788,1
11044,P30837,SUB-1076,1
25699,A0A144KZJ7,SUB-5210,0
5736,Q2Z1A8,SUB-1640,1
20146,G1T465,SUB-10258,0
22361,O24641,SUB-3829,0
4303,C6FI48,SUB-6630,1
20290,A0A3Q1MJ30,SUB-6552,0
4197,Q0PIV8,SUB-6819,1
23400,P14920,SUB-1082,0
2712,P97872,SUB-7774,1
10969,Q81VW8,SUB-5701,1
2503,D1A807,SUB-8561,1
10337,A0A024FRL9,SUB-2394,1
14634,Q62600,SUB-218,0
11863,Q93TJ5,SUB-5910,1
21082,C4TGF1,SUB-5433,0
